id,Dimension,Value
5601,Dim2,6.71
5601,Dim3,4.2
5602,Dim1,6.34
5602,Dim2,6.3
5602,Dim3,3.93
5603,Dim1,6.32
5603,Dim2,6.27
5604,Dim3,3.86
5605,Dim2,6.19
5605,Dim3,3.96
5606,Dim2,6.27
5606,Dim3,4.07
5607,Dim1,6.42
5607,Dim2,6.36
5608,Dim1,6.09
5608,Dim2,6.12
5608,Dim3,3.87
5609,Dim1,6.59
5609,Dim2,6.63
5610,Dim1,5.8
5610,Dim2,5.82
5610,Dim3,3.61
5611,Dim1,6.31
5611,Dim2,6.35
5611,Dim3,3.76
5612,Dim1,6.15
5612,Dim2,6.19
5613,Dim1,6.19
5613,Dim2,6.23
5613,Dim3,3.9
5614,Dim2,6.39
5615,Dim1,6.2
5615,Dim3,3.7
5616,Dim2,5.77
5616,Dim3,3.57
5617,Dim1,6.73
5617,Dim3,4.08
5618,Dim1,6.5
5618,Dim2,6.46
5618,Dim3,3.96
5619,Dim1,6.24
5619,Dim2,6.29
5619,Dim3,3.96
5620,Dim2,6.46
5620,Dim3,3.8
5621,Dim1,6.01
5621,Dim2,5.98
5621,Dim3,3.91
5622,Dim2,6.47
5622,Dim3,3.9
5623,Dim2,6.16
5623,Dim3,3.85
5624,Dim1,6.3
5624,Dim2,6.25
5624,Dim3,4.1
5625,Dim1,6.49
5625,Dim2,6.45
5625,Dim3,3.99
5626,Dim1,6.49
5627,Dim1,6.39
5627,Dim2,6.28
5628,Dim1,5.73
5628,Dim2,5.69
5628,Dim3,3.45
5629,Dim1,6.14
5629,Dim2,6.21
5629,Dim3,3.78
5630,Dim3,3.77
5631,Dim1,6.05
5631,Dim3,3.84
5632,Dim1,6.13
5632,Dim2,6.17
5632,Dim3,3.86
5633,Dim1,6.25
5633,Dim2,6.33
5633,Dim3,4.02
5634,Dim2,6.46
5634,Dim3,3.89
5635,Dim1,6.39
5635,Dim2,6.37
5635,Dim3,3.83
5636,Dim1,6.3
5636,Dim2,6.35
5636,Dim3,3.8
5637,Dim1,6.35
5637,Dim2,6.4
5637,Dim3,4.02
5638,Dim1,5.78
5639,Dim1,6.17
5639,Dim2,6.12
5639,Dim3,3.75
5640,Dim2,6.23
5640,Dim3,3.76
5641,Dim1,5.85
5641,Dim2,5.82
5642,Dim1,6.12
5642,Dim2,6.18
5643,Dim3,3.8
5644,Dim1,6.14
5644,Dim2,6.2
5644,Dim3,3.83
5645,Dim1,6.18
5646,Dim1,6.24
5646,Dim2,6.3
5646,Dim3,3.81
5648,Dim1,6.5
5648,Dim2,6.54
5648,Dim3,4.15
5649,Dim1,6.3
5649,Dim3,4.01
5650,Dim1,5.72
5650,Dim2,5.74
5650,Dim3,3.54
5651,Dim1,5.99
5651,Dim2,6.03
5652,Dim1,5.86
5652,Dim2,5.8
5652,Dim3,3.57
5653,Dim1,6.7
5654,Dim1,6.12
5654,Dim2,6.07
5654,Dim3,3.88
5655,Dim2,6.08
5655,Dim3,3.81
5656,Dim1,6.14
5656,Dim2,6.1
5656,Dim3,3.83
5657,Dim2,6.09
5657,Dim3,3.86
5658,Dim1,6.18
5658,Dim2,6.12
5658,Dim3,3.88
5659,Dim2,6.52
5660,Dim2,6.67
5660,Dim3,3.88
5661,Dim1,6.47
5661,Dim2,6.43
5661,Dim3,3.93
5662,Dim1,6.11
5662,Dim2,6.09
5662,Dim3,3.88
5663,Dim1,6.23
5663,Dim2,6.15
5663,Dim3,3.86
5664,Dim3,3.8
5665,Dim1,6.2
5665,Dim2,6.14
5665,Dim3,3.65
5666,Dim1,6.55
5666,Dim2,6.52
5666,Dim3,3.88
5667,Dim1,6.57
5667,Dim3,4.17
5668,Dim1,6.69
5668,Dim2,6.62
5668,Dim3,4.1
5669,Dim2,6.78
5670,Dim1,6.89
5670,Dim2,6.87
5671,Dim1,6.16
5671,Dim2,6.21
5671,Dim3,3.87
5672,Dim1,6.12
5672,Dim2,6.17
5673,Dim1,6.26
5673,Dim2,6.28
5674,Dim1,6.28
5674,Dim2,6.24
5675,Dim3,3.68
5676,Dim1,5.99
5676,Dim2,5.95
5676,Dim3,3.68
5677,Dim1,6.29
5677,Dim2,6.22
5678,Dim1,6.37
5678,Dim2,6.32
5678,Dim3,3.92
5679,Dim2,6.37
5680,Dim1,6.18
5680,Dim3,3.86
5681,Dim1,6.31
5681,Dim2,6.37
5682,Dim1,6.28
5682,Dim3,3.97
5683,Dim1,6.23
5683,Dim2,6.29
5684,Dim1,6.51
5684,Dim2,6.44
5685,Dim1,6.88
5685,Dim2,6.73
5685,Dim3,4.19
5686,Dim1,6.54
5686,Dim2,6.49
5687,Dim1,6.19
5687,Dim2,6.21
5688,Dim2,5.7
5688,Dim3,3.49
5689,Dim1,6.38
5689,Dim2,6.45
5689,Dim3,3.89
5690,Dim2,6.4
5690,Dim3,4.01
5691,Dim1,6.38
5691,Dim2,6.44
5691,Dim3,3.98
5692,Dim1,6.32
5692,Dim2,6.35
5692,Dim3,4.05
5693,Dim1,6.51
5693,Dim2,6.53
5693,Dim3,3.93
5694,Dim1,6.36
5694,Dim2,6.51
5694,Dim3,3.99
5695,Dim1,5.74
5695,Dim2,5.79
5696,Dim1,5.79
5696,Dim2,5.82
5697,Dim1,6.25
5697,Dim2,6.21
5697,Dim3,3.81
5698,Dim2,6.27
5699,Dim1,6.54
5699,Dim2,6.49
5699,Dim3,3.71
5700,Dim2,6.66
5700,Dim3,4.1
5701,Dim1,4.29
5701,Dim2,4.26
5701,Dim3,2.71
5703,Dim1,4.28
5703,Dim2,4.25
5703,Dim3,2.66
5704,Dim1,4.3
5704,Dim2,4.25
5704,Dim3,2.66
5705,Dim1,4.31
5705,Dim3,2.61
5706,Dim1,4.33
5706,Dim2,4.3
5706,Dim3,2.64
5707,Dim1,4.6
5707,Dim2,4.62
5707,Dim3,2.64
5708,Dim2,4.14
5708,Dim3,2.43
5709,Dim1,4.1
5709,Dim2,4.12
5709,Dim3,2.44
5710,Dim1,4.05
5710,Dim3,2.51
5711,Dim2,4.05
5712,Dim1,4.09
5712,Dim2,4.12
5712,Dim3,2.48
5713,Dim1,3.99
5714,Dim1,4.27
5714,Dim3,2.51
5715,Dim2,4.14
5715,Dim3,2.47
5716,Dim1,4.01
5716,Dim3,2.52
5717,Dim3,2.55
5718,Dim1,4.07
5718,Dim2,4.09
5718,Dim3,2.44
5719,Dim1,4.03
5719,Dim2,4.06
5720,Dim1,4
5720,Dim2,4.06
5720,Dim3,2.54
5721,Dim1,4.03
5721,Dim2,4.11
5721,Dim3,2.48
5722,Dim2,4.02
5722,Dim3,2.48
5723,Dim2,4.01
5724,Dim2,4.03
5724,Dim3,2.53
5725,Dim1,4.06
5725,Dim2,4.1
5725,Dim3,2.47
5726,Dim2,4.16
5726,Dim3,2.43
5727,Dim1,4.04
5727,Dim2,4.1
5727,Dim3,2.63
5728,Dim1,4.07
5729,Dim1,4.13
5729,Dim3,2.47
5730,Dim1,4.07
5730,Dim2,4.1
5730,Dim3,2.48
5731,Dim1,6.18
5731,Dim2,6.22
5732,Dim1,6.54
5732,Dim2,6.58
5733,Dim2,6.03
5734,Dim1,6.02
5734,Dim2,6.04
5734,Dim3,3.88
5735,Dim2,6.18
5735,Dim3,3.89
5736,Dim2,6.06
5736,Dim3,3.86
5737,Dim1,6.45
5737,Dim3,4.2
5738,Dim2,6.38
5739,Dim1,6.3
5739,Dim2,6.32
5739,Dim3,4.1
5740,Dim1,6.67
5740,Dim2,6.71
5740,Dim3,3.84
5741,Dim1,6.23
5741,Dim2,6.3
5741,Dim3,3.83
5742,Dim1,6.13
5742,Dim2,6.18
5743,Dim1,6.51
5743,Dim2,6.45
5744,Dim1,5.99
5744,Dim2,6.03
5745,Dim1,6.24
5745,Dim3,3.77
5746,Dim1,6.62
5746,Dim2,6.75
5746,Dim3,4.18
5747,Dim2,6.34
5747,Dim3,4.06
5748,Dim1,6.19
5748,Dim2,6.11
5748,Dim3,3.9
5749,Dim2,5.89
5751,Dim2,6.31
5752,Dim1,6.33
5752,Dim3,3.91
5753,Dim2,6.17
5753,Dim3,3.77
5754,Dim2,6.27
5754,Dim3,3.82
5755,Dim1,6.19
5755,Dim2,6.24
5755,Dim3,3.94
5756,Dim3,3.55
5757,Dim1,6.94
5757,Dim2,6.88
5758,Dim3,3.99
5759,Dim1,6.35
5759,Dim2,6.28
5759,Dim3,3.98
5760,Dim1,6.56
5760,Dim3,3.82
5761,Dim1,6.47
5761,Dim2,6.41
5761,Dim3,3.86
5762,Dim1,6.37
5762,Dim2,6.29
5762,Dim3,4.02
5763,Dim1,6.38
5763,Dim2,6.35
5763,Dim3,4.04
5764,Dim2,6.39
5764,Dim3,4.03
5765,Dim1,6.32
5765,Dim3,4.04
5766,Dim1,5.86
5766,Dim3,3.62
5767,Dim1,6.06
5767,Dim2,6.12
5768,Dim1,6.17
5768,Dim3,3.86
5769,Dim1,6.16
5769,Dim2,6.13
5769,Dim3,3.86
5770,Dim1,6.66
5770,Dim2,6.58
5770,Dim3,3.98
5771,Dim1,6.68
5771,Dim3,4.16
5772,Dim1,6.29
5772,Dim3,3.81
5773,Dim1,6.23
5773,Dim2,6.2
5774,Dim1,6.41
5774,Dim2,6.37
5774,Dim3,4.07
5775,Dim1,6.39
5775,Dim2,6.42
5775,Dim3,3.98
5776,Dim1,6.96
5776,Dim2,6.91
5776,Dim3,3.98
5777,Dim1,5.76
5777,Dim2,5.72
5777,Dim3,3.6
5778,Dim1,6.57
5778,Dim3,4.09
5780,Dim2,6.47
5780,Dim3,4.06
5781,Dim1,7.18
5781,Dim2,7.12
5781,Dim3,4.19
5782,Dim1,6.1
5782,Dim3,3.84
5783,Dim1,6.12
5783,Dim2,6.26
5783,Dim3,3.78
5784,Dim1,6.59
5784,Dim2,6.52
5784,Dim3,3.93
5785,Dim1,6
5785,Dim2,6.05
5786,Dim1,5.75
5786,Dim2,5.79
5786,Dim3,3.53
5787,Dim2,6.59
5787,Dim3,3.95
5788,Dim1,6.64
5788,Dim2,6.59
5788,Dim3,3.83
5789,Dim1,6.48
5789,Dim2,6.44
5789,Dim3,3.95
5790,Dim1,6.01
5791,Dim1,6.56
5791,Dim2,6.51
5791,Dim3,3.97
5792,Dim1,6.37
5792,Dim2,6.4
5793,Dim1,6.85
5793,Dim3,4.22
5794,Dim1,6.32
5794,Dim2,6.36
5794,Dim3,4.04
5795,Dim1,6.31
5795,Dim3,3.95
5796,Dim2,6.44
5796,Dim3,3.97
5797,Dim1,6.34
5797,Dim3,3.99
5798,Dim1,6.2
5798,Dim2,6.23
5798,Dim3,3.86
5799,Dim1,6.25
5800,Dim1,5.88
5800,Dim2,5.96
5800,Dim3,3.43
5801,Dim1,6.45
5801,Dim2,6.41
5801,Dim3,3.79
5802,Dim1,6.2
5802,Dim2,6.22
5802,Dim3,3.82
5803,Dim1,6.83
5804,Dim1,6.2
5804,Dim2,6.24
5804,Dim3,3.78
5805,Dim1,5.74
5805,Dim2,5.78
5807,Dim1,6.62
5807,Dim3,3.8
5808,Dim1,6.25
5808,Dim2,6.29
5808,Dim3,3.7
5809,Dim1,6.26
5809,Dim2,6.31
5810,Dim3,3.86
5811,Dim1,5.94
5811,Dim2,6.01
5811,Dim3,3.61
5812,Dim1,6.19
5812,Dim2,6.24
5813,Dim1,6.12
5813,Dim2,6.15
5813,Dim3,3.89
5814,Dim3,3.79
5815,Dim1,6.43
5815,Dim3,4.02
5816,Dim2,5.79
5817,Dim1,5.98
5817,Dim3,3.67
5818,Dim2,6.01
5818,Dim3,3.71
5819,Dim1,6.78
5819,Dim2,6.69
5819,Dim3,4.23
5820,Dim2,7.15
5820,Dim3,4.46
5821,Dim1,6.52
5821,Dim2,6.45
5821,Dim3,3.99
5822,Dim2,6.45
5822,Dim3,3.99
5823,Dim1,5.59
5823,Dim2,5.63
5823,Dim3,3.44
5824,Dim1,6.29
5824,Dim2,6.34
5825,Dim1,6.36
5825,Dim2,6.32
5825,Dim3,3.99
5826,Dim1,6.32
5826,Dim2,6.29
5826,Dim3,3.76
5827,Dim1,6.51
5828,Dim3,4.15
5829,Dim2,6.09
5829,Dim3,3.91
5830,Dim1,6.34
5830,Dim2,6.31
5830,Dim3,3.76
5831,Dim1,5.89
5831,Dim2,5.92
5831,Dim3,3.58
5832,Dim1,6.27
5832,Dim2,6.2
5833,Dim1,6.48
5833,Dim2,6.45
5833,Dim3,4.12
5834,Dim1,6.02
5834,Dim2,6.06
5834,Dim3,3.8
5835,Dim2,6.17
5836,Dim1,6.33
5836,Dim2,6.37
5836,Dim3,3.89
5837,Dim1,6.68
5837,Dim2,6.56
5837,Dim3,4.12
5838,Dim1,6.32
5838,Dim2,6.27
5838,Dim3,3.95
5839,Dim1,6.09
5839,Dim2,6.14
5839,Dim3,3.83
5840,Dim1,6.12
5840,Dim2,6.08
5840,Dim3,3.85
5841,Dim1,6.11
5841,Dim3,3.9
5842,Dim1,6.18
5842,Dim2,6.09
5842,Dim3,3.82
5843,Dim1,6.48
5843,Dim2,6.44
5843,Dim3,3.89
5844,Dim1,6.4
5844,Dim3,4.01
5845,Dim1,6.12
5845,Dim3,3.92
5846,Dim1,6.58
5846,Dim2,6.55
5847,Dim2,6.23
5847,Dim3,3.93
5848,Dim1,6.38
5848,Dim3,4.01
5849,Dim1,6.45
5849,Dim2,6.41
5849,Dim3,3.94
5850,Dim1,6.42
5850,Dim2,6.38
5850,Dim3,3.92
5851,Dim1,6.33
5851,Dim2,6.29
5852,Dim1,6.32
5852,Dim2,6.28
5852,Dim3,4.02
5853,Dim1,6.63
5854,Dim1,6.33
5854,Dim3,4.01
5855,Dim3,3.93
5856,Dim1,5.78
5856,Dim2,5.64
5856,Dim3,3.51
5857,Dim1,6.55
5857,Dim3,3.83
5858,Dim1,4.98
5858,Dim2,4.9
5859,Dim1,6.25
5859,Dim2,6.29
5859,Dim3,3.74
5860,Dim2,6.16
5861,Dim2,6.5
5861,Dim3,4.01
5862,Dim1,6.16
5862,Dim3,3.72
5863,Dim1,6.28
5863,Dim3,3.79
5864,Dim1,5.8
5864,Dim3,3.59
5865,Dim2,6.43
5865,Dim3,4.03
5866,Dim1,5.92
5866,Dim2,5.95
5867,Dim1,6.38
5867,Dim2,6.32
5867,Dim3,4
5868,Dim2,6.02
5868,Dim3,3.7
5869,Dim1,6.35
5869,Dim3,4.03
5870,Dim1,6.53
5870,Dim2,6.51
5871,Dim1,6.1
5871,Dim3,3.89
5872,Dim1,6.21
5872,Dim3,3.76
5873,Dim1,6.19
5873,Dim3,3.68
5874,Dim1,6.18
5874,Dim2,6.26
5875,Dim1,6.35
5875,Dim3,4.03
5876,Dim2,6.1
5876,Dim3,3.91
5877,Dim1,6.09
5877,Dim2,6.02
5878,Dim1,6.46
5878,Dim2,6.5
5879,Dim1,6.77
5879,Dim3,4.24
5880,Dim1,6.4
5881,Dim2,6.19
5881,Dim3,4.06
5882,Dim1,6.52
5882,Dim2,6.56
5882,Dim3,3.95
5883,Dim1,6.47
5883,Dim3,4
5884,Dim1,6.37
5884,Dim3,3.99
5885,Dim1,6.36
5886,Dim1,5.86
5886,Dim2,5.88
5886,Dim3,3.64
5887,Dim1,6.51
5887,Dim3,3.86
5888,Dim2,6.35
5889,Dim1,6.47
5889,Dim2,6.5
5889,Dim3,3.84
5890,Dim1,6.01
5890,Dim2,6.05
5890,Dim3,3.67
5891,Dim1,6.09
5891,Dim3,3.92
5892,Dim1,6.32
5892,Dim3,3.67
5893,Dim1,6.42
5893,Dim2,6.38
5894,Dim1,6.24
5894,Dim2,6.17
5895,Dim1,6.3
5895,Dim2,6.25
5896,Dim1,6.57
5896,Dim2,6.52
5897,Dim1,6.29
5897,Dim2,6.17
5897,Dim3,3.8
5898,Dim1,6.2
5898,Dim3,3.84
5899,Dim1,6.75
5899,Dim3,4.01
5900,Dim1,6.8
5900,Dim2,6.7
5900,Dim3,4.22
5901,Dim1,6.28
5901,Dim2,6.34
5901,Dim3,4.04
5902,Dim1,6.17
5902,Dim2,6.14
5902,Dim3,3.84
5903,Dim3,4.03
5904,Dim1,6.14
5904,Dim2,6.19
5905,Dim1,6.15
5905,Dim2,6.28
5905,Dim3,3.87
5906,Dim1,6.09
5906,Dim2,6.07
5906,Dim3,3.74
5907,Dim1,6.14
5908,Dim1,6.01
5908,Dim2,5.96
5908,Dim3,3.68
5909,Dim1,5.97
5909,Dim2,6.02
5909,Dim3,3.71
5910,Dim1,6.54
5910,Dim2,6.49
5910,Dim3,4.06
5911,Dim1,6.19
5911,Dim2,6.23
5911,Dim3,3.81
5912,Dim1,6.11
5912,Dim2,6.14
5912,Dim3,3.82
5913,Dim3,3.8
5914,Dim2,6.09
5914,Dim3,3.77
5915,Dim1,6.31
5915,Dim2,6.36
5915,Dim3,3.74
5916,Dim1,6.46
5916,Dim2,6.43
5916,Dim3,4
5917,Dim1,5.71
5917,Dim2,5.68
5918,Dim1,5.83
5918,Dim2,5.86
5918,Dim3,3.56
5919,Dim1,6.39
5919,Dim2,6.25
5919,Dim3,3.81
5920,Dim1,6.25
5920,Dim2,6.27
5920,Dim3,3.92
5921,Dim1,6.49
5921,Dim2,6.57
5922,Dim1,6.63
5922,Dim2,6.53
5922,Dim3,3.78
5923,Dim1,6.3
5923,Dim2,6.26
5923,Dim3,4.02
5924,Dim2,6.25
5924,Dim3,3.86
5925,Dim1,6.26
5925,Dim2,6.2
5925,Dim3,3.87
5926,Dim2,6.18
5926,Dim3,3.85
5927,Dim2,6.18
5927,Dim3,3.84
5928,Dim1,6.25
5928,Dim2,6.22
5928,Dim3,3.87
5929,Dim1,6.24
5929,Dim3,3.87
5930,Dim1,6.7
5931,Dim1,7.11
5931,Dim2,7.04
5931,Dim3,4.2
5932,Dim1,6.63
5932,Dim2,6.59
5932,Dim3,4.09
5933,Dim1,6.24
5933,Dim2,6.16
5934,Dim1,6.45
5934,Dim2,6.51
5935,Dim1,5.98
5935,Dim2,5.92
5935,Dim3,3.93
5936,Dim1,6.37
5936,Dim2,6.43
5937,Dim1,6.32
5937,Dim2,6.38
5937,Dim3,3.86
5938,Dim1,6.33
5938,Dim2,6.37
5938,Dim3,3.97
5939,Dim1,6.11
5939,Dim2,6.17
5939,Dim3,3.86
5940,Dim1,6.3
5941,Dim3,3.86
5942,Dim1,6.47
5943,Dim1,6.8
5943,Dim2,6.73
5943,Dim3,4.08
5944,Dim1,6.1
5944,Dim2,6.14
5944,Dim3,3.85
5945,Dim1,6.41
5945,Dim2,6.48
5945,Dim3,3.75
5946,Dim1,6.23
5946,Dim3,3.98
5947,Dim2,5.81
5947,Dim3,3.54
5948,Dim1,5.82
5948,Dim2,5.85
5949,Dim1,6.34
5949,Dim2,6.29
5950,Dim1,5.86
5950,Dim2,5.88
5950,Dim3,3.64
5951,Dim1,6.06
5951,Dim2,6.09
5951,Dim3,3.87
5952,Dim3,3.93
5953,Dim2,6.17
5953,Dim3,3.86
5954,Dim1,5.72
5954,Dim3,3.51
5955,Dim1,6.23
5955,Dim2,6.31
5956,Dim2,6.18
5957,Dim1,6.08
5957,Dim2,6.11
5957,Dim3,3.81
5958,Dim1,6.1
5958,Dim2,6.14
5959,Dim1,6.09
5959,Dim2,6.11
5960,Dim1,6.13
5960,Dim2,6.17
5960,Dim3,3.81
5961,Dim1,6.16
5961,Dim2,6.2
5962,Dim1,6.33
5962,Dim2,6.37
5962,Dim3,3.65
5963,Dim1,6.07
5963,Dim2,6.12
5964,Dim1,6.16
5965,Dim1,6.09
5965,Dim2,6.13
5965,Dim3,3.86
5966,Dim1,6.19
5966,Dim2,6.21
5966,Dim3,3.83
5967,Dim1,6.23
5967,Dim3,3.78
5968,Dim1,6.34
5968,Dim3,3.66
5969,Dim2,6.74
5969,Dim3,4.13
5970,Dim1,6.05
5970,Dim2,6.1
5970,Dim3,3.87
5971,Dim2,6.12
5971,Dim3,3.87
5972,Dim2,6.11
5972,Dim3,3.8
5973,Dim1,6.14
5973,Dim2,6.18
5974,Dim2,5.77
5974,Dim3,3.69
5975,Dim1,6.25
5975,Dim2,6.22
5975,Dim3,3.72
5976,Dim2,5.71
5977,Dim1,6.95
5977,Dim2,6.9
5977,Dim3,4.13
5978,Dim2,6.5
5979,Dim2,6.21
5979,Dim3,3.78
5980,Dim1,6.43
5981,Dim1,6.61
5981,Dim2,6.55
5981,Dim3,4.01
5982,Dim1,6.29
5982,Dim3,3.95
5983,Dim1,5.77
5983,Dim2,5.86
5983,Dim3,3.44
5984,Dim1,6.52
5984,Dim2,6.58
5984,Dim3,4.19
5985,Dim1,6.56
5985,Dim2,6.62
5985,Dim3,3.88
5986,Dim2,5.81
5986,Dim3,3.44
5987,Dim2,5.99
5988,Dim1,6.48
5988,Dim2,6.46
5989,Dim1,5.93
5989,Dim2,6.01
5989,Dim3,3.66
5990,Dim1,6.06
5990,Dim2,6.13
5990,Dim3,3.81
5991,Dim1,6.17
5991,Dim2,6.21
5991,Dim3,3.86
5992,Dim1,6.04
5992,Dim2,6.08
5993,Dim2,6.83
5993,Dim3,4.13
5994,Dim1,5.76
5994,Dim2,5.8
5994,Dim3,3.53
5995,Dim2,6.69
5995,Dim3,4.08
5996,Dim1,6.51
5996,Dim2,6.41
5996,Dim3,3.99
5997,Dim2,6.25
5997,Dim3,3.81
5998,Dim1,6.46
5998,Dim2,6.52
5998,Dim3,4.06
5999,Dim1,6.23
6e3,Dim1,6.33
6001,Dim1,6.45
6001,Dim2,6.38
6002,Dim1,6.35
6002,Dim2,6.32
6002,Dim3,4.05
6003,Dim1,6.39
6003,Dim3,3.98
6004,Dim2,6.36
6004,Dim3,4.01
6005,Dim2,6.33
6005,Dim3,4.03
6006,Dim2,6.29
6007,Dim1,6.39
6007,Dim2,6.31
6008,Dim3,3.83
6009,Dim1,6.56
6010,Dim1,6.09
6010,Dim2,6.12
6010,Dim3,3.88
6011,Dim1,5.79
6011,Dim2,5.84
6011,Dim3,3.63
6012,Dim1,6.14
6012,Dim2,6.11
6012,Dim3,3.79
6013,Dim1,6.58
6013,Dim2,6.54
6014,Dim3,3.82
6015,Dim1,6.11
6015,Dim2,6.17
6015,Dim3,3.85
6016,Dim1,6.19
6016,Dim2,6.22
6016,Dim3,3.85
6017,Dim1,6.22
6018,Dim1,6.14
6018,Dim2,6.19
6018,Dim3,3.86
6019,Dim1,6.15
6019,Dim2,6.2
6019,Dim3,3.87
6020,Dim1,6.84
6020,Dim2,6.69
6020,Dim3,4.31
6021,Dim2,5.93
6022,Dim2,6.64
6022,Dim3,4.22
6023,Dim1,6.75
6023,Dim3,4.18
6024,Dim1,6.22
6024,Dim2,6.19
6024,Dim3,3.99
6025,Dim1,6.34
6025,Dim2,6.29
6025,Dim3,4.06
6026,Dim1,6.19
6026,Dim2,6.08
6026,Dim3,4.01
6027,Dim2,6.33
6028,Dim1,6.41
6028,Dim2,6.36
6028,Dim3,3.88
6029,Dim2,6.22
6029,Dim3,3.89
6030,Dim1,6.27
6030,Dim2,6.23
6031,Dim1,4.1
6031,Dim2,4.14
6032,Dim1,4.11
6032,Dim3,2.48
6033,Dim1,4.48
6033,Dim2,4.57
6033,Dim3,2.71
6034,Dim1,4.21
6034,Dim2,4.26
6034,Dim3,2.63
6035,Dim1,4.42
6035,Dim3,2.76
6036,Dim1,4.42
6036,Dim2,4.44
6036,Dim3,2.72
6037,Dim1,4.06
6038,Dim2,4.46
6039,Dim1,4.04
6039,Dim3,2.49
6040,Dim1,4.55
6040,Dim2,4.59
6040,Dim3,2.91
6041,Dim1,4.36
6041,Dim3,2.71
6042,Dim2,4.4
6043,Dim1,4.4
6043,Dim3,2.73
6044,Dim2,4.36
6045,Dim1,4.45
6045,Dim2,4.43
6045,Dim3,2.65
6046,Dim1,4.37
6046,Dim2,4.34
6046,Dim3,2.73
6047,Dim1,4.45
6047,Dim2,4.44
6047,Dim3,2.68
6048,Dim1,4.41
6048,Dim2,4.4
6048,Dim3,2.71
6049,Dim1,4.42
6049,Dim2,4.39
6049,Dim3,2.74
6050,Dim2,4.37
6050,Dim3,2.75
6051,Dim1,4.39
6051,Dim2,4.38
6051,Dim3,2.74
6052,Dim2,4.38
6053,Dim1,4.43
6053,Dim2,4.38
6054,Dim1,4.42
6054,Dim2,4.39
6054,Dim3,2.69
6055,Dim2,4.35
6055,Dim3,2.73
6056,Dim1,4.41
6056,Dim3,2.72
6057,Dim2,4.37
6057,Dim3,2.7
6058,Dim1,4.4
6058,Dim2,4.37
6058,Dim3,2.74
6059,Dim2,4.37
6059,Dim3,2.76
6060,Dim1,4.37
6060,Dim2,4.35
6060,Dim3,2.71
6061,Dim1,6.24
6061,Dim2,6.21
6061,Dim3,4.14
6062,Dim1,6.84
6062,Dim2,6.69
6063,Dim1,5.84
6063,Dim2,5.89
6063,Dim3,3.67
6064,Dim1,6.36
6064,Dim2,6.39
6065,Dim1,6.27
6065,Dim2,6.38
6067,Dim1,6
6067,Dim2,6.02
6067,Dim3,3.72
6068,Dim1,6
6068,Dim2,5.96
6068,Dim3,3.55
6069,Dim1,5.98
6069,Dim3,3.68
6070,Dim1,6.78
6070,Dim3,4.04
6071,Dim1,6.16
6071,Dim3,3.9
6072,Dim1,6.25
6072,Dim3,3.85
6073,Dim1,6.24
6073,Dim2,6.19
6073,Dim3,3.79
6074,Dim1,6.64
6074,Dim2,6.57
6075,Dim2,6.23
6076,Dim1,6.25
6076,Dim3,3.81
6077,Dim1,6.13
6077,Dim2,6.16
6077,Dim3,3.86
6078,Dim2,5.48
6079,Dim1,6.65
6079,Dim2,6.58
6079,Dim3,4.1
6080,Dim1,6.42
6080,Dim2,6.46
6081,Dim1,6.23
6081,Dim2,6.31
6081,Dim3,3.98
6082,Dim2,6.39
6082,Dim3,3.98
6083,Dim1,6.59
6083,Dim2,6.57
6083,Dim3,3.91
6084,Dim1,5.97
6084,Dim2,6.02
6084,Dim3,3.68
6085,Dim1,5.93
6085,Dim2,5.99
6085,Dim3,3.72
6086,Dim2,6.09
6086,Dim3,3.79
6087,Dim1,6.33
6087,Dim2,6.28
6087,Dim3,4.07
6088,Dim1,6.01
6088,Dim2,6.06
6088,Dim3,3.86
6089,Dim1,5.69
6089,Dim2,5.73
6089,Dim3,3.5
6090,Dim2,6.54
6090,Dim3,3.89
6091,Dim1,6.59
6091,Dim2,6.53
6091,Dim3,3.95
6092,Dim1,6.29
6092,Dim2,6.36
6092,Dim3,3.99
6093,Dim1,6.11
6093,Dim2,6.15
6093,Dim3,3.81
6094,Dim1,6.25
6095,Dim2,6.06
6095,Dim3,3.71
6096,Dim1,6.48
6096,Dim2,6.54
6096,Dim3,4.06
6097,Dim2,6.29
6097,Dim3,3.86
6098,Dim1,6.44
6098,Dim2,6.51
6098,Dim3,3.84
6099,Dim1,6.19
6099,Dim2,6.15
6100,Dim1,6.17
6100,Dim2,6.14
6100,Dim3,3.85
6101,Dim1,6.18
6101,Dim2,6.15
6101,Dim3,3.87
6102,Dim1,6.21
6102,Dim2,6.18
6103,Dim1,6.09
6103,Dim2,6.16
6103,Dim3,3.87
6104,Dim3,4.3
6105,Dim1,6.41
6105,Dim2,6.47
6106,Dim1,6.2
6106,Dim3,3.81
6107,Dim1,6.01
6107,Dim2,6.08
6108,Dim3,4.04
6109,Dim2,6.31
6109,Dim3,3.95
6110,Dim1,6.61
6110,Dim2,6.59
6111,Dim1,6.63
6111,Dim2,6.61
6111,Dim3,4.1
6112,Dim1,6.02
6112,Dim2,6.05
6112,Dim3,3.73
6113,Dim1,6.11
6113,Dim2,6.21
6114,Dim1,6.42
6114,Dim2,6.38
6116,Dim1,5.79
6116,Dim3,3.57
6117,Dim2,6.44
6117,Dim3,4.15
6118,Dim1,6.47
6118,Dim2,6.44
6118,Dim3,4.2
6119,Dim2,5.94
6119,Dim3,3.76
